"Name","Platform","Genre","Publisher","Developer","Rating","Global_Sales","Year_of_Release","Critic_Score","Critic_Count","User_Score","User_Count"
"Madden NFL 11","PS3","Sports","Electronic Arts","EA Tiburon","E","2.38","2010","83","36","6.1","68"
"Sly Cooper and the Thievius Raccoonus","PS2","Platform","Sony Computer Entertainment","Sucker Punch","E","1.21","2002","86","41","8.6","184"
"The Lord of the Rings: Conquest","X360","Action","Electronic Arts","Pandemic Studios","T","0.63","2009","55","58","7","110"
"Red Steel 2","Wii","Shooter","Ubisoft","Ubisoft Paris","T","0.62","2010","80","73","8.6","178"
"Star Wars: The Force Unleashed II","X360","Action","LucasArts","LucasArts","T","1.43","2010","61","59","5.7","180"
"Puss in Boots","PS3","Action","THQ","THQ","E10+","0.09","2011","70","4","7","4"
"Top Spin 3","X360","Action","Take-Two Interactive","Pam Development","E","0.56","2008","78","47","7.6","36"
"NCAA Basketball 10","PS3","Sports","Electronic Arts","EA Canada","E","0.33","2009","75","17","7.8","6"
"The Simpsons Skateboarding","PS2","Sports","Electronic Arts","The Code Monkeys","T","1.52","2002","38","21","5","26"
"Madden NFL 07","DS","Sports","Electronic Arts","Exient Entertainment","E","0.21","2006","70","9","6.5","10"
"Puzzle Quest 2","DS","Puzzle","D3Publisher","Infinite Interactive","E10+","0.11","2010","74","27","5.8","11"
"Fantastic 4","GC","Action","Activision","7 Studios","T","0.24","2005","61","32","4","6"
"Tiger Woods PGA Tour 2003","GC","Sports","Electronic Arts","EA Sports","E","0.23","2002","90","10","8","5"
"Phantasy Star Portable 2","PSP","Role-Playing","Sega","Alfa System","T","0.87","2009","69","27","8.1","35"
"Star Wars: Battlefront","PC","Shooter","LucasArts","EA DICE","T","0.21","2004","72","19","3.5","1509"
"Star Wars The Clone Wars: Republic He","Wii","Action","LucasArts","Krome Studios","T","0.79","2009","48","10","6.4","5"
"Star Wars Jedi Knight: Jedi Academy","PC","Shooter","Activision","Raven Software","T","0.03","2003","81","34","8.6","293"
"Jade Cocoon 2","PS2","Role-Playing","Ubisoft","Genki","T","0.1","2001","76","16","7.8","22"
"Tony Hawk's Project 8","PS2","Sports","Activision","Shaba Games","T","0.87","2006","69","17","7.3","19"
"Zubo","DS","Misc","Electronic Arts","EA Bright Light","E10+","0.11","2008","75","19","7.6","75"
"The Testament of Sherlock Holmes","PS3","Adventure","Focus Home Interactive","Frogwares","M","0.24","2012","65","16","7.4","34"
"Burnout Legends","PSP","Racing","Electronic Arts","Criterion Games","E10+","0.84","2005","86","53","8.4","108"
"The Fast and the Furious","PS2","Racing","Namco Bandai Games","Eutechnyx","T","0.06","2006","59","22","6.6","24"
"Ultimate Spider-Man","XB","Action","Activision","Treyarch","T","0.39","2005","77","53","7.4","20"
"The Ant Bully","PS2","Platform","Midway Games","Artificial Mind and","E10+","0.1","2006","52","19","4.2","6"
"Tony Hawk's Pro Skater 4","XB","Sports","Activision","Neversoft Entertainm","T","0.93","2002","90","25","8.5","21"
"NBA 2K9","X360","Sports","Take-Two Interactive","Visual Concepts","E","1.27","2008","84","32","7.2","44"
"Ben 10: Alien Force","Wii","Action","Koch Media","Monkey Bar Games","E10+","0.8","2008","45","6","7.8","11"
"NHL 06","XB","Sports","Electronic Arts","EA Canada","E10+","0.25","2005","79","35","8.4","18"
"Thrillville: Off the Rails","DS","Strategy","LucasArts","DC Studios","E","0.04","2007","59","6","6.2","5"
"Earthworm Jim","GBA","Platform","Interplay","Game Titan","E","0.29","2001","72","10","5.7","6"
"Pikmin","GC","Strategy","Nintendo","Nintendo","E","1.63","2001","89","39","8.7","121"
"ATV Quad Power Racing 2","GC","Racing","Acclaim Entertainment","Climax Group","E","0.28","2003","70","18","9","4"
"Apache: Air Assault","PS3","Simulation","Activision","Gaijin Entertainment","T","0.2","2010","66","17","6.1","12"
"Gradius Collection","PSP","Shooter","Konami Digital Entertainmen","M2","E","0.06","2006","76","44","8.5","4"
"Tiger Woods PGA Tour 2004","XB","Sports","Electronic Arts","EA Sports","E","0.62","2003","89","18","8.2","14"
"Barnyard","PS2","Action","THQ","Blue Tongue Entertai","E10+","0.09","2006","62","13","8.7","10"
"America's Army: True Soldiers","X360","Shooter","Ubisoft","Red Storm Entertainm","T","0.08","2007","43","11","6.7","55"
"Elebits: The Adventures of Kai and Ze","DS","Adventure","Konami Digital Entertainmen","Konami","E","0.08","2008","75","15","8.3","4"
"Test Drive: Ferrari Legends","PS3","Racing","Unknown","Atari, Slightly Mad","E","0.04","2012","62","19","4.9","22"
"Dai Senryaku VII: Modern Military Tac","XB","Strategy","Kool Kizz","SystemSoft","E","0.04","2003","74","11","8.8","6"
"Vietcong: Purple Haze","PS2","Shooter","Gathering of Developers","Coyote Developments","M","0.18","2004","48","11","4.3","6"
"Ragnarok DS","DS","Role-Playing","GungHo","GungHo","E10+","0.22","2008","53","19","5.8","17"
